conference,team,tm_link,year
Southern (South),Davidson,davidson,2004.0
Patriot,Holy Cross,holy-cross,2004.0
MVC,Indiana State,indiana-state,2004.0
CUSA,Houston,houston,2004.0
Big Sky,Weber State,weber-state,2004.0
Big West,Cal State Northridge,cal-state-northridge,2004.0
A-10 (West),La Salle,la-salle,2004.0
WCC,San Francisco,san-francisco,2004.0
Southland,Stephen F. Austin,stephen-f-austin,2004.0
Horizon,Wright State,wright-state,2004.0
Southern (South),Furman,furman,2004.0
WCC,Loyola Marymount,loyola-marymount,2004.0
MAC (East),Marshall,marshall,2004.0
CUSA,South Florida,south-florida,2004.0
A-10 (East),Massachusetts,massachusetts,2004.0
Sun Belt (West),New Orleans,new-orleans,2004.0
Sun Belt (West),Denver,denver,2004.0
Mid-Cont,Centenary (LA),centenary-la,2004.0
MAAC,Saint Peter's,saint-peters,2004.0
Big 12,Baylor,baylor,2004.0
AEC,Vermont,vermont,2004.0
Big Ten,Penn State,penn-state,2004.0
Big South,Liberty,liberty,2004.0
CUSA,Tulane,tulane,2004.0
MAC (East),Ohio,ohio,2004.0
Big South,Birmingham-Southern,birmingham-southern,2004.0
Big West,California-Irvine,california-irvine,2004.0
Sun Belt (West),New Mexico State,new-mexico-state,2004.0
Big West,Cal Poly,cal-poly,2004.0
Big West,California-Riverside,california-riverside,2004.0
MVC,Evansville,evansville,2004.0
MAC (West),Eastern Michigan,eastern-michigan,2004.0
Big West,Cal State Fullerton,cal-state-fullerton,2004.0
Ivy,Yale,yale,2004.0
Horizon,Loyola (IL),loyola-il,2004.0
Big Sky,Sacramento State,sacramento-state,2004.0
Patriot,Bucknell,bucknell,2004.0
MAC (West),Northern Illinois,northern-illinois,2004.0
Big Sky,Northern Arizona,northern-arizona,2004.0
WAC,San Jose State,san-jose-state,2004.0
Sun Belt (West),South Alabama,south-alabama,2004.0
SWAC,Mississippi Valley State,mississippi-valley-state,2004.0
Big Sky,Montana State,montana-state,2004.0
Patriot,American,american,2004.0
AEC,Northeastern,northeastern,2004.0
MAAC,Siena,siena,2004.0
NEC,Monmouth,monmouth,2004.0
AEC,Maine,maine,2004.0
Southland,Southeastern Louisiana,southeastern-louisiana,2004.0
MAAC,Iona,iona,2004.0
Patriot,Lafayette,lafayette,2004.0
Big Sky,Portland State,portland-state,2004.0
Ivy,Brown,brown,2004.0
OVC,Southeast Missouri State,southeast-missouri-state,2004.0
MAAC,Rider,rider,2004.0
OVC,Morehead State,morehead-state,2004.0
Ind,Texas A&M-Corpus Christi,texas-am-corpus-christi,2004.0
CAA,William & Mary,william-mary,2004.0
Southern (North),Appalachian State,appalachian-state,2004.0
OVC,Eastern Kentucky,eastern-kentucky,2004.0
Mid-Cont,Chicago State,chicago-state,2004.0
Big Sky,Montana,montana,2004.0
Southland,Texas-Arlington,texas-arlington,2004.0
Ivy,Cornell,cornell,2004.0
MAAC,Canisius,canisius,2004.0
Sun Belt (West),North Texas,north-texas,2004.0
OVC,Tennessee Tech,tennessee-tech,2004.0
Big South,Winthrop,winthrop,2004.0
Horizon,Youngstown State,youngstown-state,2004.0
NEC,Central Connecticut State,central-connecticut-state,2004.0
MEAC,South Carolina State,south-carolina-state,2004.0
A-10 (East),St. Bonaventure,st-bonaventure,2004.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2004.0
Big South,Coastal Carolina,coastal-carolina,2004.0
Southern (North),Western Carolina,western-carolina,2004.0
A-Sun,Florida Atlantic,florida-atlantic,2004.0
NEC,St. Francis (NY),st-francis-ny,2004.0
Southland,Texas-San Antonio,texas-san-antonio,2004.0
Patriot,Lehigh,lehigh,2004.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2004.0
Southland,McNeese State,mcneese-state,2004.0
CAA,James Madison,james-madison,2004.0
MEAC,Coppin State,coppin-state,2004.0
A-10 (East),Fordham,fordham,2004.0
OVC,Jacksonville State,jacksonville-state,2004.0
Mid-Cont,Southern Utah,southern-utah,2004.0
MEAC,Delaware State,delaware-state,2004.0
A-Sun,Mercer,mercer,2004.0
OVC,Tennessee-Martin,tennessee-martin,2004.0
OVC,Samford,samford,2004.0
Big South,High Point,high-point,2004.0
Ind,Texas-Pan American,texas-pan-american,2004.0
AEC,Binghamton,binghamton,2004.0
Big Sky,Idaho State,idaho-state,2004.0
Southland,Texas State,texas-state,2004.0
MAC (West),Central Michigan,central-michigan,2004.0
Southern (North),Elon,elon,2004.0
Ivy,Columbia,columbia,2004.0
MEAC,Florida A&M,florida-am,2004.0
Southland,Northwestern State,northwestern-state,2004.0
CAA,Towson,towson,2004.0
A-Sun,Stetson,stetson,2004.0
WCC,San Diego,san-diego,2004.0
AEC,Maryland-Baltimore County,maryland-baltimore-county,2004.0
Horizon,Cleveland State,cleveland-state,2004.0
NEC,Robert Morris,robert-morris,2004.0
MEAC,Hampton,hampton,2004.0
NEC,Wagner,wagner,2004.0
Ind,IPFW,ipfw,2004.0
NEC,Saint Francis (PA),saint-francis-pa,2004.0
NEC,Mount St. Mary's,mount-st-marys,2004.0
Patriot,Colgate,colgate,2004.0
Big West,Long Beach State,long-beach-state,2004.0
Big South,Radford,radford,2004.0
OVC,Eastern Illinois,eastern-illinois,2004.0
SWAC,Alabama State,alabama-state,2004.0
Southland,Lamar,lamar,2004.0
OVC,Tennessee State,tennessee-state,2004.0
A-Sun,Gardner-Webb,gardner-webb,2004.0
AEC,New Hampshire,new-hampshire,2004.0
AEC,Stony Brook,stony-brook,2004.0
Southland,Louisiana-Monroe,louisiana-monroe,2004.0
NEC,Sacred Heart,sacred-heart,2004.0
MAAC,Marist,marist,2004.0
A-Sun,Jacksonville,jacksonville,2004.0
AEC,Hartford,hartford,2004.0
Southern (South),Wofford,wofford,2004.0
Southland,Sam Houston State,sam-houston-state,2004.0
NEC,Quinnipiac,quinnipiac,2004.0
SWAC,Southern,southern,2004.0
MEAC,Morgan State,morgan-state,2004.0
SWAC,Jackson State,jackson-state,2004.0
SWAC,Texas Southern,texas-southern,2004.0
Mid-Cont,Western Illinois,western-illinois,2004.0
NEC,Long Island University,long-island-university,2004.0
Big South,North Carolina-Asheville,north-carolina-asheville,2004.0
MEAC,Norfolk State,norfolk-state,2004.0
A-Sun,Lipscomb,lipscomb,2004.0
Big South,Charleston Southern,charleston-southern,2004.0
Sun Belt (East),Florida International,florida-international,2004.0
AEC,Albany (NY),albany-ny,2004.0
MEAC,Howard,howard,2004.0
SWAC,Alabama A&M,alabama-am,2004.0
SWAC,Grambling,grambling,2004.0
Ivy,Harvard,harvard,2004.0
MAAC,Loyola (MD),loyola-md,2004.0
Ivy,Dartmouth,dartmouth,2004.0
MEAC,Bethune-Cookman,bethune-cookman,2004.0
Big South,Virginia Military Institute,virginia-military-institute,2004.0
Southern (South),Citadel,citadel,2004.0
SWAC,Alcorn State,alcorn-state,2004.0
Southland,Nicholls State,nicholls-state,2004.0
SWAC,Prairie View,prairie-view,2004.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2004.0
A-Sun,Campbell,campbell,2004.0
Patriot,Navy,navy,2004.0
Ind,Savannah State,savannah-state,2004.0
Patriot,Army,army,2004.0
MEAC,North Carolina A&T,north-carolina-at,2004.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2004.0
ACC,North Carolina,north-carolina,2005.0
Big Ten,Illinois,illinois,2005.0
ACC,Duke,duke,2005.0
CUSA,Louisville,louisville,2005.0
Big 12,Oklahoma State,oklahoma-state,2005.0
Big 12,Kansas,kansas,2005.0
Big Ten,Michigan State,michigan-state,2005.0
ACC,Wake Forest,wake-forest,2005.0
SEC (East),Florida,florida,2005.0
Big 12,Oklahoma,oklahoma,2005.0
Pac-10,Washington,washington,2005.0
SEC (East),Kentucky,kentucky,2005.0
Big East,Villanova,villanova,2005.0
Big East,Connecticut,connecticut,2005.0
Pac-10,Arizona,arizona,2005.0
CUSA,Cincinnati,cincinnati,2005.0
ACC,Georgia Tech,georgia-tech,2005.0
Big Ten,Wisconsin,wisconsin,2005.0
SEC (West),Alabama,alabama,2005.0
Big 12,Texas Tech,texas-tech,2005.0
ACC,North Carolina State,north-carolina-state,2005.0
Big East,Syracuse,syracuse,2005.0
Big 12,Texas,texas,2005.0
Big Ten,Iowa,iowa,2005.0
Big East,Pittsburgh,pittsburgh,2005.0
Big East,Boston College,boston-college,2005.0
MWC,Utah,utah,2005.0
ACC,Maryland,maryland,2005.0
SEC (East),Vanderbilt,vanderbilt,2005.0
WCC,Gonzaga,gonzaga,2005.0
Big 12,Texas A&M,texas-am,2005.0
Big Ten,Ohio State,ohio-state,2005.0
Big West,Utah State,utah-state,2005.0
SEC (West),Mississippi State,mississippi-state,2005.0
SEC (West),Arkansas,arkansas,2005.0
Big Ten,Minnesota,minnesota,2005.0
SEC (East),South Carolina,south-carolina,2005.0
Big East,West Virginia,west-virginia,2005.0
SEC (West),Louisiana State,louisiana-state,2005.0
MVC,Southern Illinois,southern-illinois,2005.0
Big 12,Iowa State,iowa-state,2005.0
CUSA,Memphis,memphis,2005.0
ACC,Clemson,clemson,2005.0
MWC,New Mexico,new-mexico,2005.0
A-10 (West),George Washington,george-washington,2005.0
CUSA,Alabama-Birmingham,alabama-birmingham,2005.0
Horizon,Milwaukee,milwaukee,2005.0
Big Ten,Indiana,indiana,2005.0
MVC,Creighton,creighton,2005.0
MVC,Northern Iowa,northern-iowa,2005.0
Big East,Providence,providence,2005.0
Big 12,Kansas State,kansas-state,2005.0
MVC,Missouri State,missouri-state,2005.0
Big East,Georgetown,georgetown,2005.0
CUSA,Charlotte,charlotte,2005.0
WAC,Texas-El Paso,texas-el-paso,2005.0
MVC,Wichita State,wichita-state,2005.0
ACC,Miami (FL),miami-fl,2005.0
Big 12,Nebraska,nebraska,2005.0
Big East,Notre Dame,notre-dame,2005.0
WAC,Nevada,nevada,2005.0
Pac-10,Arizona State,arizona-state,2005.0
Pac-10,UCLA,ucla,2005.0
Pac-10,Stanford,stanford,2005.0
CUSA,DePaul,depaul,2005.0
Big West,Pacific,pacific,2005.0
MWC,Air Force,air-force,2005.0
SEC (East),Tennessee,tennessee,2005.0
AEC,Vermont,vermont,2005.0
A-10 (East),Saint Joseph's,saint-josephs,2005.0
MAC (East),Miami (OH),miami-oh,2005.0
ACC,Virginia,virginia,2005.0
Big 12,Missouri,missouri,2005.0
MAC (West),Western Michigan,western-michigan,2005.0
MAC (East),Akron,akron,2005.0
A-10 (West),Xavier,xavier,2005.0
ACC,Florida State,florida-state,2005.0
WCC,Saint Mary's (CA),saint-marys-ca,2005.0
A-10 (East),Temple,temple,2005.0
CUSA,Marquette,marquette,2005.0
Pac-10,Oregon,oregon,2005.0
Pac-10,Washington State,washington-state,2005.0
WAC,Rice,rice,2005.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2005.0
CAA,Old Dominion,old-dominion,2005.0
MAC (East),Buffalo,buffalo,2005.0
Big Ten,Purdue,purdue,2005.0
Patriot,Holy Cross,holy-cross,2005.0
Sun Belt (West),Louisiana-Lafayette,louisiana-lafayette,2005.0
ACC,Virginia Tech,virginia-tech,2005.0
MAC (East),Kent State,kent-state,2005.0
SEC (West),Mississippi,mississippi,2005.0
CUSA,Texas Christian,texas-christian,2005.0
MAC (East),Ohio,ohio,2005.0
Mid-Cont,Oral Roberts,oral-roberts,2005.0
Big East,Seton Hall,seton-hall,2005.0
Sun Belt (East),Western Kentucky,western-kentucky,2005.0
Big East,St. John's (NY),st-johns-ny,2005.0
Big 12,Colorado,colorado,2005.0
MAC (West),Toledo,toledo,2005.0
Big Ten,Michigan,michigan,2005.0
Ivy,Pennsylvania,pennsylvania,2005.0
CUSA,Houston,houston,2005.0
Sun Belt (West),Denver,denver,2005.0
Pac-10,Southern California,southern-california,2005.0
Big Ten,Northwestern,northwestern,2005.0
MAC (West),Ball State,ball-state,2005.0
WAC,Hawaii,hawaii,2005.0
MWC,Wyoming,wyoming,2005.0
WAC,Southern Methodist,southern-methodist,2005.0
MVC,Illinois State,illinois-state,2005.0
A-10 (West),Dayton,dayton,2005.0
Big East,Rutgers,rutgers,2005.0
AEC,Boston University,boston-university,2005.0
MVC,Bradley,bradley,2005.0
MAAC,Niagara,niagara,2005.0
Pac-10,Oregon State,oregon-state,2005.0
WCC,San Diego,san-diego,2005.0
CUSA,South Florida,south-florida,2005.0
CAA,Hofstra,hofstra,2005.0
Pac-10,California,california,2005.0
WCC,Santa Clara,santa-clara,2005.0
MWC,Colorado State,colorado-state,2005.0
WCC,San Francisco,san-francisco,2005.0
Sun Belt (East),Middle Tennessee,middle-tennessee,2005.0
MVC,Drake,drake,2005.0
Patriot,Bucknell,bucknell,2005.0
SEC (West),Auburn,auburn,2005.0
CAA,Virginia Commonwealth,virginia-commonwealth,2005.0
MAC (West),Bowling Green State,bowling-green-state,2005.0
CAA,Drexel,drexel,2005.0
Big West,Cal State Northridge,cal-state-northridge,2005.0
WCC,Pepperdine,pepperdine,2005.0
Southern (South),Davidson,davidson,2005.0
Horizon,Detroit Mercy,detroit-mercy,2005.0
MAC (West),Northern Illinois,northern-illinois,2005.0
WAC,Fresno State,fresno-state,2005.0
Horizon,Illinois-Chicago,illinois-chicago,2005.0
WAC,Louisiana Tech,louisiana-tech,2005.0
MWC,San Diego State,san-diego-state,2005.0
MWC,Brigham Young,brigham-young,2005.0
CAA,George Mason,george-mason,2005.0
MVC,Evansville,evansville,2005.0
WCC,Portland,portland,2005.0
WAC,Tulsa,tulsa,2005.0
CUSA,Saint Louis,saint-louis,2005.0
Horizon,Butler,butler,2005.0
MVC,Indiana State,indiana-state,2005.0
AEC,Northeastern,northeastern,2005.0
A-10 (West),Richmond,richmond,2005.0
Big South,Winthrop,winthrop,2005.0
Big West,Cal State Fullerton,cal-state-fullerton,2005.0
OVC,Murray State,murray-state,2005.0
A-10 (East),Massachusetts,massachusetts,2005.0
Ind,Texas A&M-Corpus Christi,texas-am-corpus-christi,2005.0
Horizon,Wright State,wright-state,2005.0
Sun Belt (East),Arkansas-Little Rock,arkansas-little-rock,2005.0
Mid-Cont,IUPUI,iupui,2005.0
Southern (South),College of Charleston,college-of-charleston,2005.0
Ivy,Princeton,princeton,2005.0
Southland,Southeastern Louisiana,southeastern-louisiana,2005.0
MAAC,Manhattan,manhattan,2005.0
Sun Belt (East),Arkansas State,arkansas-state,2005.0
WCC,Loyola Marymount,loyola-marymount,2005.0
SEC (East),Georgia,georgia,2005.0
Southern (North),Chattanooga,chattanooga,2005.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2005.0
Southland,Northwestern State,northwestern-state,2005.0
Horizon,Loyola (IL),loyola-il,2005.0
A-10 (East),Fordham,fordham,2005.0
Big Ten,Penn State,penn-state,2005.0
MAAC,Rider,rider,2005.0
Horizon,Green Bay,green-bay,2005.0
Southland,Sam Houston State,sam-houston-state,2005.0
MAAC,Fairfield,fairfield,2005.0
Southland,Lamar,lamar,2005.0
Southern (South),Georgia Southern,georgia-southern,2005.0
MAC (West),Eastern Michigan,eastern-michigan,2005.0
CUSA,East Carolina,east-carolina,2005.0
AEC,Albany (NY),albany-ny,2005.0
Mid-Cont,Oakland,oakland,2005.0
OVC,Eastern Kentucky,eastern-kentucky,2005.0
Big 12,Baylor,baylor,2005.0
Big West,California-Irvine,california-irvine,2005.0
OVC,Tennessee Tech,tennessee-tech,2005.0
MAAC,Saint Peter's,saint-peters,2005.0
WAC,Boise State,boise-state,2005.0
OVC,Southeast Missouri State,southeast-missouri-state,2005.0
MAAC,Iona,iona,2005.0
Patriot,American,american,2005.0
Sun Belt (West),New Orleans,new-orleans,2005.0
Mid-Cont,Valparaiso,valparaiso,2005.0
Mid-Cont,Missouri-Kansas City,missouri-kansas-city,2005.0
MAC (East),Marshall,marshall,2005.0
Big Sky,Montana,montana,2005.0
Southern (North),Appalachian State,appalachian-state,2005.0
OVC,Austin Peay,austin-peay,2005.0
Sun Belt (East),Florida International,florida-international,2005.0
Southern (South),Furman,furman,2005.0
NEC,Fairleigh Dickinson,fairleigh-dickinson,2005.0
Big West,California-Santa Barbara,california-santa-barbara,2005.0
Sun Belt (West),North Texas,north-texas,2005.0
Southland,Texas-San Antonio,texas-san-antonio,2005.0
A-10 (West),La Salle,la-salle,2005.0
AEC,Binghamton,binghamton,2005.0
OVC,Tennessee State,tennessee-state,2005.0
Big Sky,Portland State,portland-state,2005.0
Horizon,Cleveland State,cleveland-state,2005.0
CUSA,Southern Mississippi,southern-mississippi,2005.0
A-Sun,Central Florida,central-florida,2005.0
OVC,Samford,samford,2005.0
MEAC,South Carolina State,south-carolina-state,2005.0
Ivy,Yale,yale,2005.0
CAA,Delaware,delaware,2005.0
A-10 (East),Rhode Island,rhode-island,2005.0
Mid-Cont,Western Illinois,western-illinois,2005.0
Sun Belt (West),South Alabama,south-alabama,2005.0
A-Sun,Gardner-Webb,gardner-webb,2005.0
Big West,Long Beach State,long-beach-state,2005.0
Southern (South),Wofford,wofford,2005.0
NEC,Monmouth,monmouth,2005.0
A-10 (West),Duquesne,duquesne,2005.0
Big Sky,Northern Arizona,northern-arizona,2005.0
MEAC,Delaware State,delaware-state,2005.0
Ivy,Harvard,harvard,2005.0
Patriot,Lehigh,lehigh,2005.0
Big Sky,Montana State,montana-state,2005.0
CUSA,Tulane,tulane,2005.0
Big West,Idaho,idaho,2005.0
MAAC,Marist,marist,2005.0
AEC,Maine,maine,2005.0
A-Sun,Belmont,belmont,2005.0
Southern (North),North Carolina-Greensboro,north-carolina-greensboro,2005.0
Big South,Birmingham-Southern,birmingham-southern,2005.0
Ivy,Brown,brown,2005.0
MAC (West),Central Michigan,central-michigan,2005.0
Mid-Cont,Chicago State,chicago-state,2005.0
Big Sky,Weber State,weber-state,2005.0
Ivy,Cornell,cornell,2005.0
Big South,High Point,high-point,2005.0
WAC,San Jose State,san-jose-state,2005.0
OVC,Eastern Illinois,eastern-illinois,2005.0
A-Sun,Georgia State,georgia-state,2005.0
NEC,Central Connecticut State,central-connecticut-state,2005.0
Southland,McNeese State,mcneese-state,2005.0
Big West,California-Riverside,california-riverside,2005.0
MEAC,Coppin State,coppin-state,2005.0
A-Sun,Mercer,mercer,2005.0
Ivy,Columbia,columbia,2005.0
AEC,Stony Brook,stony-brook,2005.0
Big Sky,Eastern Washington,eastern-washington,2005.0
Patriot,Colgate,colgate,2005.0
NEC,St. Francis (NY),st-francis-ny,2005.0
MAAC,Canisius,canisius,2005.0
A-Sun,Florida Atlantic,florida-atlantic,2005.0
Sun Belt (West),New Mexico State,new-mexico-state,2005.0
MEAC,Hampton,hampton,2005.0
Ind,Texas-Pan American,texas-pan-american,2005.0
Mid-Cont,Southern Utah,southern-utah,2005.0
Southland,Texas-Arlington,texas-arlington,2005.0
NEC,Saint Francis (PA),saint-francis-pa,2005.0
Southland,Texas State,texas-state,2005.0
Southern (North),East Tennessee State,east-tennessee-state,2005.0
NEC,Wagner,wagner,2005.0
NEC,Robert Morris,robert-morris,2005.0
AEC,New Hampshire,new-hampshire,2005.0
Southland,Stephen F. Austin,stephen-f-austin,2005.0
A-Sun,Troy,troy,2005.0
SWAC,Mississippi Valley State,mississippi-valley-state,2005.0
Southern (North),Elon,elon,2005.0
Big South,North Carolina-Asheville,north-carolina-asheville,2005.0
Ivy,Dartmouth,dartmouth,2005.0
MEAC,Norfolk State,norfolk-state,2005.0
Big Sky,Sacramento State,sacramento-state,2005.0
MAAC,Siena,siena,2005.0
CAA,Towson,towson,2005.0
Ind,IPFW,ipfw,2005.0
Patriot,Lafayette,lafayette,2005.0
AEC,Maryland-Baltimore County,maryland-baltimore-county,2005.0
Big South,Coastal Carolina,coastal-carolina,2005.0
SWAC,Alabama A&M,alabama-am,2005.0
CAA,William & Mary,william-mary,2005.0
A-Sun,Lipscomb,lipscomb,2005.0
NEC,Long Island University,long-island-university,2005.0
Patriot,Navy,navy,2005.0
Big South,Charleston Southern,charleston-southern,2005.0
Big West,Cal Poly,cal-poly,2005.0
Big South,Liberty,liberty,2005.0
OVC,Jacksonville State,jacksonville-state,2005.0
Southern (North),Western Carolina,western-carolina,2005.0
Big South,Radford,radford,2005.0
A-Sun,Stetson,stetson,2005.0
MEAC,Morgan State,morgan-state,2005.0
Southland,Louisiana-Monroe,louisiana-monroe,2005.0
Southern (South),Citadel,citadel,2005.0
A-Sun,Jacksonville,jacksonville,2005.0
MAAC,Loyola (MD),loyola-md,2005.0
OVC,Morehead State,morehead-state,2005.0
CAA,James Madison,james-madison,2005.0
Horizon,Youngstown State,youngstown-state,2005.0
NEC,Quinnipiac,quinnipiac,2005.0
Big Sky,Idaho State,idaho-state,2005.0
SWAC,Alabama State,alabama-state,2005.0
MEAC,Florida A&M,florida-am,2005.0
AEC,Hartford,hartford,2005.0
OVC,Tennessee-Martin,tennessee-martin,2005.0
SWAC,Southern,southern,2005.0
SWAC,Jackson State,jackson-state,2005.0
A-10 (East),St. Bonaventure,st-bonaventure,2005.0
NEC,Mount St. Mary's,mount-st-marys,2005.0
MEAC,Bethune-Cookman,bethune-cookman,2005.0
Southland,Nicholls State,nicholls-state,2005.0
NEC,Sacred Heart,sacred-heart,2005.0
Mid-Cont,Centenary (LA),centenary-la,2005.0
SWAC,Texas Southern,texas-southern,2005.0
MEAC,North Carolina A&T,north-carolina-at,2005.0
SWAC,Grambling,grambling,2005.0
Big South,Virginia Military Institute,virginia-military-institute,2005.0
Patriot,Army,army,2005.0
MEAC,Howard,howard,2005.0
SWAC,Arkansas-Pine Bluff,arkansas-pine-bluff,2005.0
A-Sun,Campbell,campbell,2005.0
SWAC,Alcorn State,alcorn-state,2005.0
SWAC,Prairie View,prairie-view,2005.0
Ind,Savannah State,savannah-state,2005.0
MEAC,Maryland-Eastern Shore,maryland-eastern-shore,2005.0
Big 12,Texas,texas,2006.0
ACC,Duke,duke,2006.0
Big East,Connecticut,connecticut,2006.0
SEC (East),Florida,florida,2006.0
Big 12,Kansas,kansas,2006.0
Big East,Villanova,villanova,2006.0
CUSA,Memphis,memphis,2006.0
ACC,North Carolina,north-carolina,2006.0
Pac-10,Washington,washington,2006.0
SEC (West),Louisiana State,louisiana-state,2006.0
Pac-10,UCLA,ucla,2006.0
Big Ten,Illinois,illinois,2006.0
Big East,Pittsburgh,pittsburgh,2006.0
Big Ten,Ohio State,ohio-state,2006.0
Pac-10,Arizona,arizona,2006.0
SEC (West),Arkansas,arkansas,2006.0
SEC (East),Tennessee,tennessee,2006.0
Big East,West Virginia,west-virginia,2006.0
Big Ten,Iowa,iowa,2006.0
Big East,Georgetown,georgetown,2006.0
ACC,Boston College,boston-college,2006.0
SEC (East),South Carolina,south-carolina,2006.0
Big 12,Texas A&M,texas-am,2006.0
Big Ten,Wisconsin,wisconsin,2006.0
SEC (East),Kentucky,kentucky,2006.0
MVC,Missouri State,missouri-state,2006.0
Big East,Cincinnati,cincinnati,2006.0
ACC,North Carolina State,north-carolina-state,2006.0
ACC,Florida State,florida-state,2006.0
Big East,Notre Dame,notre-dame,2006.0
WCC,Gonzaga,gonzaga,2006.0
Pac-10,California,california,2006.0
Big Ten,Michigan State,michigan-state,2006.0
Big Ten,Michigan,michigan,2006.0
CAA,George Mason,george-mason,2006.0
Big Ten,Indiana,indiana,2006.0
Big 12,Oklahoma,oklahoma,2006.0
MVC,Bradley,bradley,2006.0
Big East,Syracuse,syracuse,2006.0
MVC,Northern Iowa,northern-iowa,2006.0
MVC,Wichita State,wichita-state,2006.0
Big East,Marquette,marquette,2006.0
Big East,Louisville,louisville,2006.0
Big 12,Oklahoma State,oklahoma-state,2006.0
Big 12,Colorado,colorado,2006.0
SEC (West),Alabama,alabama,2006.0
ACC,Maryland,maryland,2006.0
SEC (East),Vanderbilt,vanderbilt,2006.0
Pac-10,Oregon,oregon,2006.0
ACC,Clemson,clemson,2006.0
MWC,Air Force,air-force,2006.0
WAC,Nevada,nevada,2006.0
MVC,Creighton,creighton,2006.0
A-10,Xavier,xavier,2006.0
MWC,San Diego State,san-diego-state,2006.0
ACC,Miami (FL),miami-fl,2006.0
CUSA,Alabama-Birmingham,alabama-birmingham,2006.0
A-10,George Washington,george-washington,2006.0
A-10,Saint Joseph's,saint-josephs,2006.0
Pac-10,Stanford,stanford,2006.0
Big 12,Iowa State,iowa-state,2006.0
Big 12,Kansas State,kansas-state,2006.0
MVC,Southern Illinois,southern-illinois,2006.0
CAA,North Carolina-Wilmington,north-carolina-wilmington,2006.0
Pac-10,Washington State,washington-state,2006.0
A-10,Temple,temple,2006.0
ACC,Virginia Tech,virginia-tech,2006.0
ACC,Wake Forest,wake-forest,2006.0
Big East,Rutgers,rutgers,2006.0
Big East,Providence,providence,2006.0
WAC,Utah State,utah-state,2006.0
Big Ten,Minnesota,minnesota,2006.0
Horizon,Milwaukee,milwaukee,2006.0
CAA,Old Dominion,old-dominion,2006.0
MWC,Nevada-Las Vegas,nevada-las-vegas,2006.0
Pac-10,Southern California,southern-california,2006.0
CUSA,Houston,houston,2006.0
Patriot,Bucknell,bucknell,2006.0
MWC,Brigham Young,brigham-young,2006.0
Big West,Pacific,pacific,2006.0
MAAC,Iona,iona,2006.0
Big East,Seton Hall,seton-hall,2006.0
ACC,Virginia,virginia,2006.0
CAA,Hofstra,hofstra,2006.0
Big East,DePaul,depaul,2006.0
Big 12,Nebraska,nebraska,2006.0
Big 12,Texas Tech,texas-tech,2006.0
Big South,Winthrop,winthrop,2006.0
MAC (East),Kent State,kent-state,2006.0
Horizon,Butler,butler,2006.0
Ivy,Pennsylvania,pennsylvania,2006.0
CUSA,Texas-El Paso,texas-el-paso,2006.0
WAC,Hawaii,hawaii,2006.0
ACC,Georgia Tech,georgia-tech,2006.0
Sun Belt (East),Western Kentucky,western-kentucky,2006.0
Big East,St. John's (NY),st-johns-ny,2006.0
MWC,New Mexico,new-mexico,2006.0
SEC (West),Mississippi State,mississippi-state,2006.0
SEC (East),Georgia,georgia,2006.0
MAC (East),Akron,akron,2006.0
WCC,Saint Mary's (CA),saint-marys-ca,2006.0
SEC (West),Auburn,auburn,2006.0
Sun Belt (West),South Alabama,south-alabama,2006.0
Big Sky,Montana,montana,2006.0
A-10,Charlotte,charlotte,2006.0
CAA,Virginia Commonwealth,virginia-commonwealth,2006.0
Big Ten,Penn State,penn-state,2006.0
Pac-10,Arizona State,arizona-state,2006.0
WAC,Louisiana Tech,louisiana-tech,2006.0
OVC,Murray State,murray-state,2006.0
A-10,La Salle,la-salle,2006.0
Southland,Northwestern State,northwestern-state,2006.0
MWC,Colorado State,colorado-state,2006.0
Big Ten,Northwestern,northwestern,2006.0
MAC (East),Miami (OH),miami-oh,2006.0
MAC (East),Ohio,ohio,2006.0
A-10,Massachusetts,massachusetts,2006.0
CAA,Drexel,drexel,2006.0
WCC,San Diego,san-diego,2006.0
MWC,Utah,utah,2006.0
Mid-Cont,Oral Roberts,oral-roberts,2006.0
A-10,Saint Louis,saint-louis,2006.0
CAA,Northeastern,northeastern,2006.0
MAC (West),Toledo,toledo,2006.0
A-10,Dayton,dayton,2006.0
Ind,Texas A&M-Corpus Christi,texas-am-corpus-christi,2006.0
MAC (West),Northern Illinois,northern-illinois,2006.0
Big West,California-Irvine,california-irvine,2006.0
MVC,Drake,drake,2006.0
Big 12,Baylor,baylor,2006.0
WAC,New Mexico State,new-mexico-state,2006.0
Patriot,Holy Cross,holy-cross,2006.0
MAAC,Marist,marist,2006.0
MWC,Wyoming,wyoming,2006.0
Big 12,Missouri,missouri,2006.0
Southern (South),Davidson,davidson,2006.0
WAC,Fresno State,fresno-state,2006.0
SEC (West),Mississippi,mississippi,2006.0
A-10,Fordham,fordham,2006.0
Pac-10,Oregon State,oregon-state,2006.0
WCC,Loyola Marymount,loyola-marymount,2006.0
MAAC,Siena,siena,2006.0
MAAC,Manhattan,manhattan,2006.0
