class,ht,player,pos,tm_link,player_link,year
SR,74.0,Saul Smith,G,kentucky,saul-smith-1,2001
SO,82.0,Marvin Stone,C,kentucky,marvin-stone-1,2001
SR,82.0,Luke Axtell,G-F,kansas,luke-axtell-1,2001
JR,73.0,Brett Ballard,G,kansas,brett-ballard-1,2001
JR,75.0,Jeff Boschee,G,kansas,jeff-boschee-1,2001
JR,83.0,Jeff Carey,F-C,kansas,jeff-carey-1,2001
SR,85.0,Eric Chenowith,C,kansas,eric-chenowith-1,2001
SO,81.0,Nick Collison,F,kansas,nick-collison-1,2001
SO,82.0,Drew Gooden,F,kansas,drew-gooden-1,2001
SR,77.0,Kenny Gregory,G-F,kansas,kenny-gregory-1,2001
JR,72.0,Lewis Harrison,G,kansas,lewis-harrison-1,2001
SO,75.0,Kirk Hinrich,G,kansas,kirk-hinrich-1,2001
JR,81.0,Todd Kappelmann,,kansas,todd-kappelmann-1,2001
FR,78.0,Bryant Nash,F,kansas,bryant-nash-1,2001
JR,77.0,Chris Zerbe,F,kansas,chris-zerbe-1,2001
JR,83.0,Brian Bersticker,C,north-carolina,brian-bersticker-1,2001
FR,75.0,Adam Boone,G,north-carolina,adam-boone-1,2001
JR,80.0,Jason Capel,F,north-carolina,jason-capel-1,2001
SO,74.0,Ronald Curry,G,north-carolina,ronald-curry-1,2001
SO,76.0,Joseph Forte,G,north-carolina,joseph-forte-1,2001
SR,84.0,Brendan Haywood,C,north-carolina,brendan-haywood-1,2001
SO,80.0,Will Johnson,F,north-carolina,will-johnson-2,2001
JR,83.0,Kris Lang,F,north-carolina,kris-lang-1,2001
FR,74.0,Brian Morrison,G,north-carolina,brian-morrison-1,2001
SR,77.0,Max Owens,G,north-carolina,max-owens-1,2001
SO,79.0,Julius Peppers,F,north-carolina,julius-peppers-1,2001
SR,81.0,Stephane Dondon,F,virginia,stephane-dondon-1,2001
JR,75.0,Jason Dowling,G,virginia,jason-dowling-1,2001
SR,76.0,Keith Friel,G,virginia,keith-friel-1,2001
JR,77.0,Adam Hall,F-G,virginia,adam-hall-1,2001
SR,71.0,Donald Hand,G,virginia,donald-hand-1,2001
SR,74.0,Josh Hare,G,virginia,josh-hare-3,2001
SR,76.0,Greg Lyons,G,virginia,greg-lyons-1,2001
SO,77.0,Roger Mason,,virginia,roger-mason-1,2001
FR,80.0,J.C. Mathis,F,virginia,jc-mathis-1,2001
SO,83.0,Jason Rogers,C-F,virginia,jason-rogers-3,2001
SO,80.0,Travis Watson,F-C,virginia,travis-watson-1,2001
JR,79.0,Chris Williams,F,virginia,chris-williams-10,2001
FR,77.0,Maurice Young,F-G,virginia,maurice-young-1,2001
SO,80.0,Uka Agbai,F,boston-college,uka-agbai-1,2001
